问题,召回文档标题,真实标题,正确召回,召回位置
金融企业国有资产转让的主要目的是什么？,"['金融企业国有资产转让管理办法', '上海市国有资产监督管理委员会关于印发《本市国有企业混合所有制改制操作指引(试行)》的通知', '财政部关于印发《金融企业非上市国有产权交易规则》的通知', '金融企业国有资产转让管理办法', '国务院国有资产监督管理委员会、财政部、国家发展和改革委员会、监察部、国家工商行政管理总局、中国证券监督管理委员会关于做好企业国有产权转让监督检查工作的通知', '财政部关于印发《金融企业非上市国有产权交易规则》的通知', '金融企业国有资产转让管理办法', '国资委关于促进企业国有产权流转有关事项的通知', '财政部关于进一步明确国有金融企业增资扩股股权管理有关问题的通知', '上海市国有资产监督管理委员会关于印发《上海市企业境外国有资产监督管理暂行办法》的通知']",金融企业国有资产转让管理办法,True,0
哪些资产属于金融企业国有资产？,"['财政部关于印发《金融企业非上市国有产权交易规则》的通知', '中华人民共和国企业国有资产法', '财政部关于进一步明确国有金融企业增资扩股股权管理有关问题的通知', '上海市国有资产监督管理委员会关于印发《本市国有企业混合所有制改制操作指引(试行)》的通知', '上海市企业国有资产产权界定暂行办法', '金融企业国有资产转让管理办法', '财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见', '上海市国有资产监督管理委员会关于印发《上海市企业境外国有资产监督管理暂行办法》的通知', '金融企业国有资产转让管理办法', '企业国有资产监督管理暂行条例']",金融企业国有资产转让管理办法,True,5
金融企业国有资产转让具体包括哪些类型？,"['金融企业国有资产转让管理办法', '【产权交易】上海联合产权交易所有限公司非公开协议转让项目登记操作细则（试行）（沪联产交〔2019〕63号）', '财政部关于印发《金融企业非上市国有产权交易规则》的通知', '金融企业国有资产转让管理办法', '金融企业国有资产转让管理办法', '上海市国资委关于印发《上海市企业国有产权无偿划转暂行办法》的通知', '金融企业国有资产转让管理办法', '金融企业国有资产转让管理办法', '财政部关于印发《金融企业非上市国有产权交易规则》的通知', '国务院国有资产监督管理委员会、财政部、国家发展和改革委员会、监察部、国家工商行政管理总局、中国证券监督管理委员会关于做好企业国有产权转让监督检查工作的通知']",金融企业国有资产转让管理办法,True,0
在进行金融企业国有资产转让前，需要满足什么条件？,"['财政部关于印发《金融企业非上市国有产权交易规则》的通知', '上海市国资委、市工商局、市产管办关于印发《上海市产权交易市场管理办法实施细则》的通知(2009年修订)', '上海市国资委关于印发《上海市企业国有产权无偿划转暂行办法》的通知', '金融企业国有资产转让管理办法', '金融企业国有资产转让管理办法', '金融企业国有资产转让管理办法', '上市公司国有股权监督管理办法', '财政部关于印发《金融企业非上市国有产权交易规则》的通知', '金融企业国有资产转让管理办法', '金融企业国有资产转让管理办法']",金融企业国有资产转让管理办法,True,3
金融企业国有资产转让的监督管理由哪个部门负责？,"['金融企业国有资产转让管理办法', '地方国有资产监管工作指导监督办法', '企业国有资产交易监督管理办法', '国务院国有资产监督管理委员会、财政部、国家发展和改革委员会、监察部、国家工商行政管理总局、中国证券监督管理委员会关于做好企业国有产权转让监督检查工作的通知', '财政部关于印发《金融企业非上市国有产权交易规则》的通知', '企业国有资产监督管理暂行条例', '金融企业国有资产转让管理办法', '上海市国有资产监督管理委员会关于印发《上海市企业境外国有资产监督管理暂行办法》的通知', '企业国有资产交易监督管理办法', '国务院办公厅关于加强和改进企业国有资产监督防止国有资产流失的意见']",金融企业国有资产转让管理办法,True,0
在政务信息系统采购中，如果项目既包含货物又包含服务，价格分值的比重应如何确定？,"['财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '上海市财政局关于印发《上海市政府采购协议采购网上供货管理办法》的通知(2017)', '中华人民共和国政府采购法', '政府采购货物和服务招标投标管理办法', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '政府购买服务管理办法', '国家发展改革委办公厅关于印发《公共资源交易平台服务标准(试行)》的通知']",财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,True,0
在政务信息系统采购评审中，如果某供应商报价明显低于其他供应商，评标委员会应如何处理？,"['财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '上海市政府采购实施办法', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '评标委员会和评标方法暂行规定', '上海市财政局关于印发《上海市政府采购协议采购网上供货管理办法》的通知(2017)', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '中华人民共和国政府采购法实施条例', '财政部关于进一步规范政府采购评审工作有关问题的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知']",财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,True,2
采购人在组织政务信息系统项目验收时，需要遵循哪些规定？,"['财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '财政部关于进一步加强政府采购需求和履约验收管理的指导意见', '政府采购非招标采购方式管理办法', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于进一步加强政府采购需求和履约验收管理的指导意见', '财政部关于做好政府采购信息公开工作的通知', '上海市政府采购实施办法', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知']",财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,True,0
采购人能否与政务信息系统运行维护供应商签订超过三年的政府采购合同？,"['财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '政府采购非招标采购方式管理办法', '上海市财政局关于延长《上海市电子政府采购管理暂行办法》有效期限的通知(2018)', '财政部关于做好政府采购信息公开工作的通知', '上海市政府采购实施办法', '政府购买服务管理办法', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于做好政府采购信息公开工作的通知', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知']",财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,True,0
政务信息系统政府采购工作的具体实施由哪个部门负责？,"['财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于开展政府采购意向公开工作的通知', '财政部关于加强政府采购活动内部控制管理的指导意见', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于做好政府采购信息公开工作的通知', '中华人民共和国政府采购法实施条例', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '上海市人民政府办公厅关于本市进一步加强政府采购管理工作的实施意见', '上海市财政局关于印发《上海市政府采购集中采购机构监督考核管理办法》的通知', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知']",财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,True,0
在确定政务信息系统采购需求时，采购人需要依据哪些文件和实际需求？,"['财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于进一步加强政府采购需求和履约验收管理的指导意见', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于开展政府采购意向公开工作的通知', '中华人民共和国政府采购法实施条例', '财政部关于进一步加强政府采购需求和履约验收管理的指导意见', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '财政部关于加强政府采购活动内部控制管理的指导意见', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于做好政府采购信息公开工作的通知']",财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,True,0
哪些类型的系统属于政务信息系统的范畴？,"['财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '工业和信息化部、国家统计局、国家发展和改革委员会、财政部关于印发中小企业划型标准规定的通知', '国家发展改革委办公厅关于印发《公共资源交易平台服务标准(试行)》的通知', '国务院关于印发社会信用体系建设规划纲要（2014-2020年）的通知', '上海市城乡建设和管理委员会关于启用建设工程电子招标投标办事信息系统的通知', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '国务院办公厅关于印发整合建立统一的公共资源交易平台工作方案的通知', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '国家发展改革委办公厅关于印发《公共资源交易平台服务标准(试行)》的通知', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知']",财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,True,0
政务信息系统采购需求具体需要包含哪些内容？,"['财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于做好政府采购信息公开工作的通知', '国家发展改革委办公厅关于印发《公共资源交易平台服务标准(试行)》的通知', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于开展政府采购意向公开工作的通知', '财政部关于加强政府采购活动内部控制管理的指导意见', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于进一步加强政府采购需求和履约验收管理的指导意见', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知']",财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,True,0
